# Authored source dependencies. Identity checks do not discharge semantic proof edges.
# References through a named local owner are intentional; common Infra operations keep their owner.
# row-id	comma-separated-dependencies-or--
type.api-url-search-params-object-state	slot.api-url-search-params-list,slot.api-url-search-params-url-object,ext.webidl.platform-object-identity
slot.api-url-search-params-list	ext.infra.list,ext.infra.tuple,ext.infra.scalar-value-string
slot.api-url-search-params-url-object	type.api-url-object-state
op.api-url-search-params-initialize	ext.webidl.union-conversion,ext.webidl.sequence-conversion,ext.webidl.record-conversion,ext.webidl.throw-typeerror,ext.infra.list,ext.infra.map,slot.api-url-search-params-list,op.urlencoded-string-parser
op.api-url-search-params-update	slot.api-url-search-params-url-object,slot.api-url-search-params-list,slot.api-url-record,slot.url-query,op.urlencoded-serializer
op.api-url-search-params-constructor	op.api-url-search-params-initialize
op.api-url-search-params-size-getter	slot.api-url-search-params-list,ext.infra.list
op.api-url-search-params-append	slot.api-url-search-params-list,ext.infra.list,op.api-url-search-params-update
op.api-url-search-params-delete	slot.api-url-search-params-list,ext.infra.list,ext.infra.tuple,op.api-url-search-params-update
op.api-url-search-params-get	slot.api-url-search-params-list,ext.infra.tuple
op.api-url-search-params-get-all	slot.api-url-search-params-list,ext.infra.tuple,ext.infra.list
op.api-url-search-params-has	slot.api-url-search-params-list,ext.infra.tuple
op.api-url-search-params-set	slot.api-url-search-params-list,ext.infra.tuple,ext.infra.list,op.api-url-search-params-update
op.api-url-search-params-sort	slot.api-url-search-params-list,ext.infra.list-sort,ext.infra.code-unit-less-than,op.api-url-search-params-update
op.api-url-search-params-iteration	ext.webidl.iterable,slot.api-url-search-params-list,ext.infra.tuple
op.api-url-search-params-stringification	op.urlencoded-serializer,slot.api-url-search-params-list
requirement.external-api-url-exposure	type.url-record,op.url-serializer,type.api-url-object-state,ext.webidl.usvstring
requirement.external-api-url-naming	-
