#url-source-assignments format=1 generator=Gates.UrlCensusInput input-sha256=a5aa827f544f9077912dc1553cfd9025b6afa4e996460074b5f67d83e0f3c805 candidates=1473
#ordinal	kind	byte-start	byte-end	span-sha256	label	section	owner	reason
#input spans-sha256=444f54d5563bb8f21d04866cfc4e9dcc4ef7e1ccb380afb6f414f1b6153c23e2
#input explanations-sha256=6cd87e7a3e9e246692fc36cc52f41ed5834a45d5f66b569442c30c0cf87b7466
#input dispositions-sha256=766a539e43db1909506a938bdcb156111535a8189c542e2529885f31b6224a90
#input overrides-sha256=c2ce025fde1d98c03c28f6818269e8ab21d5e13e43a4aa4ec8e3a3339182e81c
#input dependencies-sha256=2fb67b7f4e4cab820b69a8b5125929e75b882c9e061f5323eff40cff0d5350b8
#input externals-sha256=492ba571becb2eadd939d74ff28c6689bcc0d09b1e6e661025d7f4621955a6ad
378	prose	46666	46806	0e6e16a009f0a77daf449bf83a02a6669bed19cd4c13c6d068ffab9eaf51d8f5	The ends in a number checker takes an ASCII string input and then runs these steps. They return a boolean.	host-parsing	op.ends-in-a-number	
379	definition	46673	46708	6889d3e5e8f8583c10aeb6ed1818d1b78a7a3e8682e278e90a22327cf2407662	ends in a number checker	host-parsing	op.ends-in-a-number	
380	list	46806	47778	a29d4779f350802c97aaae3cb4ee052d2e1ca3c59a34f17480193f72d2124d86	ol	host-parsing	op.ends-in-a-number	
381	prose	46816	46871	aa61ba3c07e2d08543a3748b53359ab64de93434b97fee5116f63f99c691ef42	Assert: input is not the empty string.	host-parsing	op.ends-in-a-number	
382	prose	46875	46977	7aeb6e0643371cad957d97754261149f19136f7530f3f24de9c200eed35a4a9d	Let parts be the result of strictly splitting input on U+002E (.).	host-parsing	op.ends-in-a-number	
383	prose	46981	47142	e6694464d9b1aecebf0b396c46c4c69d923da7a10e11d83a45650db1f4dc85ff	If the last item in parts is the empty string, then remove the last item from parts.	host-parsing	op.ends-in-a-number	
384	prose	47146	47225	0542dda321089e3a99b8316004e433786eea831f0a996f8d648033188eb31023	Let last be the last item in parts.	host-parsing	op.ends-in-a-number	
385	prose	47232	47340	ed88371054e23d7751d4c0c3758aec76ed8bcb6e5a247a0e6907f63d93c367b1	If last is not the empty string and contains only ASCII digits, then return true.	host-parsing	op.ends-in-a-number	
386	prose	47340	47455	716107f49e7a160ded14444201899249c509d07043eb4062dc559d37d8ba3ee1	The erroneous input "09" will be caught by the IPv4 parser at a later stage.	host-parsing	op.ends-in-a-number	
387	prose	47462	47589	887bbef329dcb1e0542b0631ece089a7bc4c62af98d5c181cc61385806818983	If parsing last as an IPv4 number does not return failure, then return true.	host-parsing	op.ends-in-a-number	
388	prose	47589	47752	d886a9bed82828f6de8c8f52f55951eb03237f336dfaab81256a2bdd596b9401	This is equivalent to checking that last is "0X" or "0x", followed by zero or more ASCII hex digits.	host-parsing	op.ends-in-a-number	
389	prose	47756	47773	e66a09d2f00a59328f60c49f81eb0fc6c89941113922438cbe9a22cc9b29554f	Return false.	host-parsing	op.ends-in-a-number	
390	algorithm	47787	50501	3d88db819670d54fb708bc2557db18b6b79ec2da453d7d9605828eb26da3db91	concept-ipv4-parser	host-parsing	op.ipv4-parser	
391	prose	47803	47983	09e7d8a167ab773497b30edccd579fe9725c42d02f2d21ca554199da3e50aee9	The IPv4 parser takes an ASCII string input and then runs these steps. They return failure or an IPv4 address.	host-parsing	op.ipv4-parser	
392	definition	47810	47855	42b5b82eaf3fc304abe6e7ec2eacbd9d8f6c3a44b6b5149d5334588d9a83e49e	concept-ipv4-parser	host-parsing	op.ipv4-parser	
393	prose	47983	48159	49c63c269b311c9b209e7fb65dde71937129151b7208c645479c940d0a82f592	The IPv4 parser is not to be invoked directly. Instead check that the return value of the host parser is an IPv4 address.	host-parsing	op.ipv4-parser	
394	list	48159	50494	69b53595fe443d934460506e49d07c0d0d7859203438abd0a7662af4d11f6205	ol	host-parsing	op.ipv4-parser	
395	prose	48169	48271	7aeb6e0643371cad957d97754261149f19136f7530f3f24de9c200eed35a4a9d	Let parts be the result of strictly splitting input on U+002E (.).	host-parsing	op.ipv4-parser	
396	prose	48278	48364	12c559b540f3291396a9d717e61f7ed7b10d82ebcf88cdc69ccd1c14e4e2010b	If the last item in parts is the empty string, then:	host-parsing	op.ipv4-parser	
397	list	48364	48769	0afbfc0a0acdba8753d6bf6f32d7052423d64a1c0ac39f0c0779e16135582370	ol	host-parsing	op.ipv4-parser	
398	prose	48376	48431	e10069d7771cf499ec9850e75b99ed2071fff7b7bacf9ae9c663db5a188045eb	IPv4-empty-part validation error.	host-parsing	op.ipv4-parser	
399	prose	48435	48764	92be799b0c5a4cc61d0a953954ffe63654e9b51f4c3632c70e4e0b0b5086439f	If parts's size is greater than 1, then remove the last item from parts.	host-parsing	op.ipv4-parser	
400	prose	48776	48892	ec89b0a81d1c6545a868ff1e020e980271a5e7752a2b2d939828d0247815b878	If parts's size is less than 4, IPv4-too-few-parts validation error.	host-parsing	op.ipv4-parser	
401	prose	48896	49032	9e37dbad628f8935cd87a0dc947d19c536fcac9175abee4dd3a4854ca581bf1d	If parts's size is greater than 4, IPv4-too-many-parts validation error, return failure.	host-parsing	op.ipv4-parser	
402	prose	49036	49095	802bd22bbddb87bf1bf0bdca97530ca52244e8c3c99c5f8004fb6d3a4d9c860b	Let numbers be an empty list.	host-parsing	op.ipv4-parser	
403	prose	49102	49170	0928b4836e62f97737cc7b18616f250c66f66f08732b78388e73d8a4c9185f1c	For each part of parts:	host-parsing	op.ipv4-parser	
404	list	49170	49583	c855a2ed9374733a06bd81ccf756057d7d5e680c66651e34662ba82f6d6993bc	ol	host-parsing	op.ipv4-parser	
405	prose	49182	49287	6c50bf097dc75647b306ab0b72ae808f733fe4049fbba742e36f7221d56803a6	Let result be the result of parsing part.	host-parsing	op.ipv4-parser	
406	prose	49291	49404	e2a292399bb23fe30b446dca2e11d488b4b0d36fc51f87a86f555e4db2c1110c	If result is failure, IPv4-non-numeric-part validation error, return failure.	host-parsing	op.ipv4-parser	
407	prose	49408	49502	006c4abcec39a1c9ef8d6e0f2ab16195689fe8989a1721ebe390ea80e06076ae	If result[1] is true, IPv4-non-decimal-part validation error.	host-parsing	op.ipv4-parser	
408	prose	49506	49578	4c10ec08b2508373be808599e51183dcf521b35cacd48d051c709479b7d8f654	Append result[0] to numbers.	host-parsing	op.ipv4-parser	
409	prose	49590	49706	0db18240e8781e0ad5dd070cc37e450071f460bb2a59e52bdd3101631c189f12	If any item in numbers is greater than 255, IPv4-out-of-range-part validation error.	host-parsing	op.ipv4-parser	
410	prose	49710	49821	d28d8a9cfc54d352d433c1b08fdd41e0b40b85e75a8fe66afab614804fee9680	If any but the last item in numbers is greater than 255, then return failure.	host-parsing	op.ipv4-parser	
411	prose	49825	50004	31046ee419eaa9c6afc028ecb90b294e32c92761d3203710da630c0621da370c	If the last item in numbers is greater than or equal to 256(5 &minus; numbers's size), then return failure.	host-parsing	op.ipv4-parser	
412	prose	50008	50089	259abdc77680d7413c1533354abe4d90970b5855e5c28c2beaf94d73b690aab2	Let ipv4 be the last item in numbers.	host-parsing	op.ipv4-parser	
413	prose	50093	50176	65f3134dfd69a5830f986d8d48b16b15b3501436a68038a33a16ee0cd5a267b7	Remove the last item from numbers.	host-parsing	op.ipv4-parser	
414	prose	50180	50214	f57b619e962ac4068bccfb922b5b446b8bd371f360b5a940ade1ea032bc6f59c	Let counter be 0.	host-parsing	op.ipv4-parser	
415	prose	50221	50288	f65fe51bb9eff0cfd5f3d69d1f8c869a8438f04fc32267f0bd6c020f108278d6	For each n of numbers:	host-parsing	op.ipv4-parser	
416	list	50288	50455	0314201b61d07eb312eeafd098d615eb6151e5ef14077120a205e2ed8427dceb	ol	host-parsing	op.ipv4-parser	
417	prose	50300	50406	427cc0a1e45602a0a13295c1c492772e71e83e2fa8761191d201945718c2cb91	Increment ipv4 by n &times; 256(3 &minus; counter).	host-parsing	op.ipv4-parser	
418	prose	50410	50450	4757496a4aa66092a4cbfa093010245d62d56d962eb422ac25e3bbb714606bc1	Increment counter by 1.	host-parsing	op.ipv4-parser	
419	prose	50462	50489	2bae2a205f176038d90096d2aff94cc038f72962b703d5ce100102d0b9af34fb	Return ipv4.	host-parsing	op.ipv4-parser	
420	algorithm	50503	52240	8161f1eb2a26c6e4ece144e78f044beb39bcdd120e5763c2ed566eae097f44e5	IPv4 number parser	host-parsing	op.ipv4-number-parser	
421	prose	50519	50701	e11bf155b773a3df22337d9761558b0d701f1fbdf1dc6531429115df07287e25	The IPv4 number parser takes an ASCII string input and then runs these steps. They return failure or a tuple of a number and a boolean.	host-parsing	op.ipv4-number-parser	
422	definition	50526	50555	805b59dde184d148eb7c77c5b2b86247074704ec48f7779dc6ed8b99d2cee3b6	IPv4 number parser	host-parsing	op.ipv4-number-parser	
423	list	50701	52233	72423a5c1d7c50c4046089ae96a2345c60c55b5ab34e152739a70c8ffef375cf	ol	host-parsing	op.ipv4-number-parser	
424	prose	50711	50778	d288403275209c455d8dfe14ab61864d2770c73f504eff34ca5a489ddc6b5f1e	If input is the empty string, then return failure.	host-parsing	op.ipv4-number-parser	
425	prose	50782	50828	42b92c0b2084df5516360005d715fd21ee6615f9953bd592279867617b09d424	Let validationError be false.	host-parsing	op.ipv4-number-parser	
426	prose	50832	50861	a97d5bdf8607b9d302971d6ada4b26c25a1cef9b2087417c6d79088b59a00f9a	Let R be 10.	host-parsing	op.ipv4-number-parser	
427	prose	50868	51017	efb3f11052a16cd23efb7b9ee82b54625df77a443bc04cb21529d5aaaf409e19	If input contains at least two code points and the first two code points are either "0X" or "0x", then:	host-parsing	op.ipv4-number-parser	
428	list	51017	51181	21e389c0c1442477e2562b655cfec09e52e3a1770d44ba4219ffcfb815d4f1c7	ol	host-parsing	op.ipv4-number-parser	
429	prose	51029	51076	dd5dc445b4a8b98fe7dc24ac49ed62c8e803aa19ba1ea66592c2dd1fe19f03db	Set validationError to true.	host-parsing	op.ipv4-number-parser	
430	prose	51080	51143	a8e64b7b06b1795dfa154ec3946cb9d600d585008d5b466e5ecf0dbd34011a94	Remove the first two code points from input.	host-parsing	op.ipv4-number-parser	
431	prose	51147	51176	aa1b44d2f2f759e10c27ab10217ad12cc5f22a621ffef50c688f4a279f0f3e75	Set R to 16.	host-parsing	op.ipv4-number-parser	
432	prose	51191	51398	edea6c3e62b5914c2810de0befc112457625c8c9f7427deeddd4e73a606b78b1	Otherwise, if input contains at least two code points and the first code point is U+0030 (0), then:	host-parsing	op.ipv4-number-parser	
433	list	51398	51556	95441e9d7fb7b837e3459acdab4429ab7d947530ff6fe3decae5dcc1d7ee306a	ol	host-parsing	op.ipv4-number-parser	
434	prose	51410	51457	dd5dc445b4a8b98fe7dc24ac49ed62c8e803aa19ba1ea66592c2dd1fe19f03db	Set validationError to true.	host-parsing	op.ipv4-number-parser	
435	prose	51461	51519	eea34c34a14ff5e8210694d92a0b971650bb64022286285b48deae66bf507394	Remove the first code point from input.	host-parsing	op.ipv4-number-parser	
436	prose	51523	51551	c67df5b7926c5014d0e3e040cec6e0248383b22d3176a3c813a010bfc99b3594	Set R to 8.	host-parsing	op.ipv4-number-parser	
437	prose	51563	51677	57168aa29bfdf203b13ce73776afbcc1d636358ae3a5224b8ed224669641a192	If input is the empty string, then return (0, true).	host-parsing	op.ipv4-number-parser	
438	prose	51681	51898	45a0db16300911f625493b512b3648d4ca4c4ffae0e855b2669754ebd8ac118f	If input contains a code point that is not a radix-R digit, then return failure.	host-parsing	op.ipv4-number-parser	
439	prose	51902	52165	5e827a19bf8894878066ab5444eade1b8b9d74d0a9e82f24817a9564b3c71270	Let output be the mathematical integer value that is represented by input in radix-R notation, using ASCII hex digits for digits with values 0 through 15.	host-parsing	op.ipv4-number-parser	
440	prose	52169	52228	126d600db85ab724f48fd7d57eb4ec5d530be062d4589ad3e8f15b1802065d5a	Return (output, validationError).	host-parsing	op.ipv4-number-parser	
441	algorithm	52248	57842	6cac0bc808503311e66e228a9391a3d0f09678e8ee9593ce5107e15f98d3c506	concept-ipv6-parser	host-parsing	op.ipv6-parser	
442	prose	52264	52450	b3e8272ed7c6e666e8a6bbf97d1a1c210c34c0df733b30e03a6ab15ad2a549f9	The IPv6 parser takes a scalar value string input and then runs these steps. They return failure or an IPv6 address.	host-parsing	op.ipv6-parser	
443	definition	52271	52316	cc4153ae70344d68acd8d0425162991122f4b4fdcbd2370815414817a6c75311	concept-ipv6-parser	host-parsing	op.ipv6-parser	
444	prose	52450	52611	30e63d9775685a65c9085ecb460d470c30222a5ea6be4a749f21729371e8e5f4	The IPv6 parser could in theory be invoked directly, but please discuss actually doing that with the editors of this document first.	host-parsing	op.ipv6-parser	
445	list	52611	57835	3f6dfa81b83c8302aa5fd930947283467277503746bdfdb01512a85c746fd2eb	ol	host-parsing	op.ipv6-parser	
446	prose	52621	52729	a3700ecd4abd90ed9e9752098a27668b10660fc2fdb4350e563fd83cc1df6205	Let address be a new IPv6 address whose pieces are all 0.	host-parsing	op.ipv6-parser	
447	prose	52733	52770	eeb60beae1abe2f5633ae8e07bcd183dcadcd0be68b64351e6993bf0d032aa0f	Let pieceIndex be 0.	host-parsing	op.ipv6-parser	
448	prose	52774	52812	91b3636ac36c982f9e66e5330d0a9429e4b21f69d80a64c735dc067308067a37	Let compress be null.	host-parsing	op.ipv6-parser	
449	prose	52816	52886	8a4a1206635c834d6dd3e2f30b285fcd1cb674104cb8ed563171131ce57ddefc	Let pointer be a pointer for input.	host-parsing	op.ipv6-parser	
450	prose	52893	52932	ff1ba21cb2cbb6798ad8b86279a13ddca93b3a7b663aa011112a395c0db9911e	If c is U+003A (:), then:	host-parsing	op.ipv6-parser	
451	list	52932	53236	2038c487a30dfe50acee42a1dcc564029b1703db55a666ad9a949d0cbaa72629	ol	host-parsing	op.ipv6-parser	
452	prose	52944	53079	8ef96f82ca6df8a8e1a1028f48b6b662a5df18b0bf337791af12e28a230b2334	If remaining does not start with U+003A (:), IPv6-invalid-compression validation error, return failure.	host-parsing	op.ipv6-parser	
453	prose	53083	53124	588055b77caab146239b75b7604d75706b2b7e1d5e3b80cbc93d38804474a9f4	Increase pointer by 2.	host-parsing	op.ipv6-parser	
454	prose	53128	53231	caa24ba834e3faa02932d7a138ac6e785c76d4a2616611a127201cb7f3b1d52f	Increase pieceIndex by 1 and then set compress to pieceIndex.	host-parsing	op.ipv6-parser	
455	prose	53246	53301	2752f2a7aecff85d95da7af909d0fbcfb146cfa533f5516c433fe11e63cc04d4	While c is not the EOF code point:	host-parsing	op.ipv6-parser	
456	list	53301	57148	20333227992a8fd130da04240949c73e245e6f165a65dc1646bbd3cb8c6ddae2	ol	host-parsing	op.ipv6-parser	
457	prose	53313	53423	1921d8d04f4591bbb87cbb4f9e637a43f9328ba034b86f7f7fb57efc9defb258	If pieceIndex is 8, IPv6-too-many-pieces validation error, return failure.	host-parsing	op.ipv6-parser	
458	prose	53432	53473	5f0fba350c572e968d78bbd182e1eb324b6d9f583b7424a6c59b2b3f8396a600	If c is U+003A (:), then:	host-parsing	op.ipv6-parser	
459	list	53473	53779	ada063976889238b2d30e92c0f55c10bdbacb3d8d2231f54fbe1d46c6c5c3446	ol	host-parsing	op.ipv6-parser	
460	prose	53487	53611	23013c7d5ad4acffb4952c76f70c1e8829895e0850dec1c07f4629542b6f919e	If compress is non-null, IPv6-multiple-compression validation error, return failure.	host-parsing	op.ipv6-parser	
461	prose	53788	53844	bd45b0bb20433f911d4c57bda1d56d65af5a4975bf30e381a777375b6553b33a	Let value and length be 0.	host-parsing	op.ipv6-parser	
462	prose	53848	54105	ccf1e684e3d106dafe8544bd3a1709e0997bd321233a9b39d83c4a793f4d7185	While length is less than 4 and c is an ASCII hex digit, set value to value &times; 0x10 + c interpreted as a hexadecimal number, and increase pointer and length by 1.	host-parsing	op.ipv6-parser	
463	prose	54114	54155	ced3991a0bcb95587716881d133c0fb4668b2dbfff5da704140feb981ba8aad5	If c is U+002E (.), then:	host-parsing	op.ipv6-parser	
464	list	54155	56429	2556085f01f29d02770fe1b5ff47ea4eeffcd8f642d7c401d1c81d7cca947c98	ol	host-parsing	op.ipv6-parser	
465	prose	54169	54290	a7d51179756cea31da7937344fe630f5cb328fb553b732ded63697ffbc103298	If length is 0, IPv4-in-IPv6-invalid-code-point validation error, return failure.	host-parsing	op.ipv6-parser	
466	prose	54294	54353	d808a653988e7585a27a79aaa499044ef4e0db010e05e0e345b9fbcaac29d506	Decrease pointer by length.	host-parsing	op.ipv6-parser	
467	prose	54357	54492	c72cfaf6f2aa7f3517bc28505ed9a074e7acffe891bc67db2a966d1529f1aff9	If pieceIndex is greater than 6, IPv4-in-IPv6-too-many-pieces validation error, return failure.	host-parsing	op.ipv6-parser	
468	prose	54496	54538	7bfbbe67f0b21493cc98d4deee1046eff75c854ead56fb614a055ce21e681d5c	Let numbersSeen be 0.	host-parsing	op.ipv6-parser	
469	prose	54549	54608	9f908b19ec263dc1309294431b7c2537d892f642b0818c407c379cf970e31d46	While c is not the EOF code point:	host-parsing	op.ipv6-parser	
470	list	54608	56249	40a4bd23201aecbf55ce0a90d60c0eaa5b1a438d7c431485d951232023f536f8	ol	host-parsing	op.ipv6-parser	
471	prose	54624	54669	96084ef5d844ba89c741abb2110dd445fcb019fa78e78e1793323b18c02909f8	Let ipv4Piece be null.	host-parsing	op.ipv6-parser	
472	prose	54682	54745	8c59f63a6220aee4815cb70d03f2634fcbd0f3151543b4c226b45914bde51c2c	If numbersSeen is greater than 0, then:	host-parsing	op.ipv6-parser	
473	list	54745	55012	e8ee20020ea2808d3312864c5d8af4f5ac23e8dafbc7b3c8b49081174cd374ae	ol	host-parsing	op.ipv6-parser	
474	prose	54763	54895	ed5a9ad9fc6495c1f42d4502f9608f8ede91b72e26dec887f69f3cad2af035ba	If c is a U+002E (.) and numbersSeen is less than 4, then increase pointer by 1.	host-parsing	op.ipv6-parser	
475	prose	55025	55206	9f493d3dad94b2626d0e3dfbf6dfa635abf12033e7663b5dcac73f2b79978797	If c is not an ASCII digit, IPv4-in-IPv6-invalid-code-point validation error, return failure.	host-parsing	op.ipv6-parser	
476	prose	55219	55272	907d71ee53a63aaeebded932a7b6eaa584f625b83e287b9a2a1c7837eefd1ddd	While c is an ASCII digit:	host-parsing	op.ipv6-parser	
477	list	55272	55939	2e657ee260d4431ac741e80fff8e3dc765589cf065bc6527a670a90890486bf1	ol	host-parsing	op.ipv6-parser	
478	prose	55290	55368	3b715e111b383a34072ce41811ee45459cd1e6cf8e7b51943c14a55ba55a3e34	Let number be c interpreted as decimal number.	host-parsing	op.ipv6-parser	
479	prose	55372	55470	c5d354f6f6867c4a27455f465e3d459c906f3ae7506b1f806af29ed3fc260cbf	If ipv4Piece is null, then set ipv4Piece to number.	host-parsing	op.ipv6-parser	
480	prose	55474	55617	ddefbc61a8e395990d3804744362cda43be1f44b839a2b1ff3e5454ca89489e5	Otherwise, if ipv4Piece is 0, IPv4-in-IPv6-invalid-code-point validation error, return failure.	host-parsing	op.ipv6-parser	
481	prose	55621	55735	92b6b8ae1e1c11df0282f001e1709ed5272cfb340335f84f595266382129b797	Otherwise, set ipv4Piece to ipv4Piece &times; 10 + number.	host-parsing	op.ipv6-parser	
482	prose	55739	55885	38d6a0aaddfbc15f226be3a7fcd5520b102b3bc1acbf3645fb67c709e9eeef96	If ipv4Piece is greater than 255, IPv4-in-IPv6-out-of-range-part validation error, return failure.	host-parsing	op.ipv6-parser	
483	prose	55889	55934	77639789da8d3fbaa8b74dac3d0dd339f64c55dd8137268847b58a0d60f58d58	Increase pointer by 1.	host-parsing	op.ipv6-parser	
484	prose	55952	56099	f2ab77eccf7aaa7174d710e218e0534f2e4ba34aaa8824df69e0a0db93fcb249	Set address[pieceIndex] to address[pieceIndex] &times; 0x100 + ipv4Piece.	host-parsing	op.ipv6-parser	
485	prose	56103	56152	6d235aa331ee88110de2353cc9be27d2b1efd355fdb266c13df6517a1c24cb65	Increase numbersSeen by 1.	host-parsing	op.ipv6-parser	
486	prose	56156	56244	94c5692f65bf79f338c06dadbac5e67fb8b4c04a6f939c2df2ac490b4a2897f8	If numbersSeen is 2 or 4, then increase pieceIndex by 1.	host-parsing	op.ipv6-parser	
487	prose	56260	56385	2c8d18cba0b4b892d6bae13a1901230a835ed0bbab3adebfff66bcdf0f7a2cbc	If numbersSeen is not 4, IPv4-in-IPv6-too-few-parts validation error, return failure.	host-parsing	op.ipv6-parser	
488	prose	56389	56424	4b77f95075a16cd5907119596b0867b97818da5ae2f3296398063cef7c398b6d	Break.	host-parsing	op.ipv6-parser	
489	prose	56443	56489	cb58d856b6e9356b645e2e33e8c56a2dcf77fbd19d27010c1c520c2a2c808bf0	Otherwise, if c is U+003A (:):	host-parsing	op.ipv6-parser	
490	list	56489	56681	e00c4ffc8452668cf21879f96c1367ac07c0dbc8732acbea82db73672d5dc991	ol	host-parsing	op.ipv6-parser	
491	prose	56503	56546	66f842e0017b539e814520d4b861cf3b719b6554b37ac096b9678f41bf033d37	Increase pointer by 1.	host-parsing	op.ipv6-parser	
492	prose	56550	56676	3346287cc55e5ee32b5398dde186d87912bc3f200477a4209eb838a7c5f0d5a6	If c is the EOF code point, IPv6-invalid-code-point validation error, return failure.	host-parsing	op.ipv6-parser	
493	prose	56690	56829	af4866d5e4eeba9e5dd9890441942bab876bb0ec408f318b6d93efbe3b1bf08f	Otherwise, if c is not the EOF code point, IPv6-invalid-code-point validation error, return failure.	host-parsing	op.ipv6-parser	
494	prose	56833	57019	fce4971141a240fb3a39d9586ac99d6802db6cd17bfa94670ed62ad70c2cdf37	If length is greater than 1 and value is less than 0x10length &minus; 1, IPv6-piece-leading-zero validation error.	host-parsing	op.ipv6-parser	
495	prose	57023	57097	9377fceaba56d9420cfd46022972cf316a8ffda7b3948489ce35423390e314e1	Set address[pieceIndex] to value.	host-parsing	op.ipv6-parser	
496	prose	57101	57143	4581e5dc76b8bf4271ac7dd5345736729535f2a27c4b821a8a8f4025894aed33	Increase pieceIndex by 1.	host-parsing	op.ipv6-parser	
497	prose	57158	57206	63391323bb23cfead086d26815ef6db7405c5daa0db2f6bdf08046a06ba4b5c2	If compress is non-null, then:	host-parsing	op.ipv6-parser	
498	list	57206	57637	3a0cd3aeb70539e286b41322bcd481e6776868a95d61ee9fb4b88609e399d816	ol	host-parsing	op.ipv6-parser	
499	prose	57218	57300	bd870277cea5a4d28f1b9b5e73f0ca7a79d091d5919a4037bd392962a0b68905	Let swaps be pieceIndex &minus; compress.	host-parsing	op.ipv6-parser	
500	prose	57304	57343	889e6141a79a680e9a9b0fcacc84fafd4210bf43e858b900b592f292647b4619	Set pieceIndex to 7.	host-parsing	op.ipv6-parser	
501	prose	57347	57632	612202edf41cc519b8742cae4075259780ed1c875997f315445ebd7479afc0e1	While pieceIndex is not 0 and swaps is greater than 0, swap address[pieceIndex] with address[compress + swaps &minus; 1], and then decrease both pieceIndex and swaps by 1.	host-parsing	op.ipv6-parser	
502	prose	57644	57796	0a3572152c31e285c9dc14f707d6e26af77d121c7261b0e0850131bda8760133	Otherwise, if compress is null and pieceIndex is not 8, IPv6-too-few-pieces validation error, return failure.	host-parsing	op.ipv6-parser	
503	prose	57800	57830	d90a72c820952755097ca99475d301cf6f685815a53e4908e4655aca79217322	Return address.	host-parsing	op.ipv6-parser	
504	algorithm	57850	58724	71b09fde7900a324e103615a69d914421294ac0b1286daa24435c672f8a1db0e	concept-opaque-host-parser	host-parsing	op.opaque-host-parser	
505	prose	57866	58073	f8143b338a160ee359ec46c11fdaf345ba00df0ae568df117cfe78493ea49c76	The opaque-host parser takes a scalar value string input, and then runs these steps. They return failure or an opaque host.	host-parsing	op.opaque-host-parser	
506	definition	57873	57939	8f454470a231e8ca645ce03d21b30bcc15b1235c9bbca0b92ebca07b0282bd25	concept-opaque-host-parser	host-parsing	op.opaque-host-parser	
507	list	58073	58717	a60edba1fc08054503872e2b1d8eb01e96e0ad59b71f5b98452e636f4e7aa90f	ol	host-parsing	op.opaque-host-parser	
508	prose	58083	58226	b2f8fe0e9e263e6904d49ababda936b7d92b62bd5818bda89a77826745f4c2d1	If input contains a forbidden host code point, host-invalid-code-point validation error, return failure.	host-parsing	op.opaque-host-parser	
509	prose	58230	58390	d520f36e15d058d04938679cbf84c74fb14bb29f91305274ad841db4395ec33c	If input contains a code point that is not a URL code point and not U+0025 (%), invalid-URL-unit validation error.	host-parsing	op.opaque-host-parser	
510	prose	58394	58568	401ff9339d86d2da2c256be6c93964f02f22b2a404bbe6403bed1c8df311eed7	If input contains a U+0025 (%) and the two code points following it are not ASCII hex digits, invalid-URL-unit validation error.	host-parsing	op.opaque-host-parser	
511	prose	58572	58712	abcb967ae1a5263b43c324b87f903e8a144e10c6f46b86ac46f1669018dd195f	Return the result of running UTF-8 percent-encode on input using the C0 control percent-encode set.	host-parsing	op.opaque-host-parser	
512	heading	58727	58772	6280334bfc52516b2ec62cf96cfe96548f57f26edba7ec89e8d1c8d8d6edf0d0	Host serializing	host-serializing	-	structural heading
513	algorithm	58774	59440	b03e3d519d8bc5bc2da88ef60177f6b2370aa7958533356c4e7e813cb175c527	concept-host-serializer	host-serializing	op.host-serializer	
514	prose	58790	58978	636070c058248f740a1abaa2c426f0cc91d78bc09bed6c5cf9b114dbbe9f9fbe	The host serializer takes a host host and then runs these steps. They return an ASCII string.	host-serializing	op.host-serializer	
515	definition	58797	58871	dd202c96cba8fd38c95bcbd4dba9bc8d47197c133887a1d9c661192bdb5ddd83	concept-host-serializer	host-serializing	op.host-serializer	
516	list	58978	59433	416fd5fc835f23c07f45985592e686b7dca26a48a6210143e7ac332f369c9d1e	ol	host-serializing	op.host-serializer	
517	prose	58988	59116	7827c3e39cef687106781fe3b0cee568a0a3aa3e6d7489ee9c735629df13336b	If host is an IPv4 address, return the result of running the IPv4 serializer on host.	host-serializing	op.host-serializer	
518	prose	59120	59307	6dde01c32f307f3a91fbb0ef93fbb20ee9fa911f10873fce1cbb1be289c049eb	Otherwise, if host is an IPv6 address, return U+005B ([), followed by the result of running the IPv6 serializer on host, followed by U+005D (]).	host-serializing	op.host-serializer	
519	prose	59311	59428	35c4f8d5cf1d984c20409971c1604cfb579804a46752911a37b5f08297dc579c	Otherwise, host is a domain, opaque host, or empty host, return host.	host-serializing	op.host-serializer	
520	algorithm	59442	60142	e707547d5c820cabd5a0ecb16bdb05345a787f5d42a45c7ebc68d01a6e2e5c62	concept-ipv4-serializer	host-serializing	op.ipv4-serializer	
521	prose	59458	59631	4bdd7e4694bb762b8b8c33b4ca671c8abc828ab849107da17f35150147e9dc57	The IPv4 serializer takes an IPv4 address address and then runs these steps. They return an ASCII string.	host-serializing	op.ipv4-serializer	
522	definition	59465	59518	7a5f7d7b8e7e36c587beac02b992e94e44a7b13a6ca6de548099d92607c2dd62	concept-ipv4-serializer	host-serializing	op.ipv4-serializer	
523	list	59631	60135	ed97c35dc1c8c8cbdddd5941dc72a368c56b2bb5011c822e513b1b532a0a0c63	ol	host-serializing	op.ipv4-serializer	
524	prose	59641	59689	3c8b907aad52670286d248164e7fbd9d71a02798ce8a7e702a005cb2abd89b23	Let output be the empty string.	host-serializing	op.ipv4-serializer	
525	prose	59693	59751	ea0e9273848969a6445a503ccff55ad6dbbd3e426b67ebbcca9e62639fbd1740	Let n be the value of address.	host-serializing	op.ipv4-serializer	
526	prose	59758	59833	29e3fea4a1dd468672f67d8a93da891eb3e5caa631f6505ea1880ea33ad51c31	For each i in the range 1 to 4, inclusive:	host-serializing	op.ipv4-serializer	
527	list	59833	60094	6466648b7e24c44b99d56300cd0145dda31c0134f0e59a1adc9cd4c81af7e600	ol	host-serializing	op.ipv4-serializer	
